# BEAST v1.10.5 Prerelease #8a10723
# Generated Mon Mar 11 08:09:05 CET 2024 [seed=1710140944925]
# -beagle_SSE H1N2_PA_20240303.noOut.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(rodent)	age(rodent)	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	default.ucld.mean	default.ucld.stdev	host.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	host.meanRate	host.rates.human.rodent	host.rates.human.swine	host.rates.rodent.swine	age(Cavia_porcellus|Orthomyxoviridae|Alphainfluenzavirus|IAV|CPo-HuN-L7|2023)	age(GU135956|A_swine_Iowa_H03LS4_2003|swine|USA|2003-06)	default.treeLikelihood	default.branchRates	host.branchRates	host.treeLikelihood	skygrid
50000	-9111.24079404163	-345.6147344653947	-8765.626059576236	202.86621643886167	1821.1337835611384	1568.712475647099	44.06078083674353	1979.9392191632564	1.0578058483076862	10.641693490062716	10.09331998544805	9.712468943422483	9.775644669929827	7.909608882754366	7.053994456931363	7.1091732549399955	7.555186904589996	6.736958156229162	5.605581357916578	30.0	13.291653668225827	0.35089223934307895	0.1834139910964224	0.20809034065942364	0.2576034289010744	0.003772548592901329	0.10525871904053574	0.001105092982948139	3.34429614623569E-4	1.337310752997304	0.2174890065735596	0.0011050929829481393	1.8066795984510196	1.4285344172753427	0.1695869933924442	0.8369609602506092	20.536248358299385	-8745.891507938193	-176.11750423849838	0.0	-19.734551638043673	-161.9160194124185
55000	-9126.748785921445	-361.1417184938396	-8765.607067427605	244.45899747914265	1779.5410025208573	1886.479528558677	46.00816825957788	1977.9918317404222	0.4232995780336114	14.155514497889612	12.798849998413228	10.686110559278031	7.280265314245376	7.799991489976067	5.876001328503585	5.838224527366567	6.136063623712481	6.574654418296552	5.939083904807323	30.0	10.702450804661064	0.3336572434226736	0.20139084531783655	0.22210309307213616	0.24284881818735313	0.0033806845403067088	0.09223621264339822	0.0011872394525676976	2.998101549881335E-4	1.3367468300485594	0.23187467049490434	0.0011872394525676978	0.023297484862027422	3.1694214412130846	0.9031224644880353	0.9845067673624764	20.530998326460377	-8750.370091191373	-176.11750423849838	0.0	-15.236976236232604	-177.36610752152387
60000	-9107.054416509915	-349.74965919278134	-8757.304757317133	309.55978065324024	1714.4402193467597	1933.106491837942	46.087120552949465	1977.9128794470505	0.9363376114692997	7.082179050889758	8.399500961229519	9.011540418590585	7.704283751485091	8.069121821383181	7.068142007039498	5.364380665065373	5.602633850288858	6.72800920024201	5.735682896012474	30.0	11.215778819724703	0.32721664928354205	0.20184304261788893	0.21538999969338882	0.2555503084051796	0.0028544874989658207	0.07284094958229234	6.976239295600106E-4	2.562248565895112E-4	1.3641854880729145	0.28861271534952365	6.976239295600108E-4	0.055659368159546245	0.6143109327905523	0.2984022413939449	0.05263227349058186	20.534451804549207	-8743.522572349637	-176.11750423849838	0.0	-13.782184967495969	-170.4029925596497
65000	-9124.317109709691	-359.02213170643785	-8765.294978003254	320.85611074712915	1703.1438892528708	2198.3406228227886	46.30956234912722	1977.6904376508728	0.7786517817027605	8.647976215171594	9.860397155409295	8.786820093692265	7.530334656494128	6.656610222349314	8.47900449662892	8.860277484457107	7.396137008179762	8.177134219966199	5.639310429837418	30.0	11.035929714637874	0.3384653733358284	0.19560656805044485	0.2297027033414446	0.2362253552722816	0.0024658555915304937	0.0581020538720104	0.0014399796402705472	2.4136669376373317E-4	1.372115267980753	0.020616202233742695	0.0014399796402705472	0.04286885381251216	0.7237364782952643	0.1067958383239078	0.5025737543811304	20.56306632912777	-8749.283833577552	-176.11750423849838	0.0	-16.01114442570234	-178.1494362367053
70000	-9103.840237863089	-349.2442166749173	-8754.596021188172	261.9205476758166	1762.0794523241834	1740.0760804896584	33.760931330963444	1990.2390686690364	1.6500494651854123	9.394432421668643	8.71470132811959	8.161666341163077	7.917449583113795	7.90692617107962	7.838516254760992	7.2151413267187445	7.903052338164392	6.230721452946881	5.8425194479550875	30.0	9.324655831042431	0.3482628143999082	0.19616517692261642	0.21554016280026372	0.24003184587721113	0.0027050741789203113	0.05190854575503351	0.0011508247260853214	2.9771598917664597E-4	1.3013552534306214	-0.21839526570977597	0.0011508247260853214	0.4950814199329813	3.34514616376106	0.27171075983140713	0.2514746730746298	20.562701918013666	-8735.55450326144	-176.11750423849838	0.0	-19.041517926732432	-166.419757051324
75000	-9091.742751900332	-339.52634474997	-8752.216407150363	149.142274103998	1874.857725896002	1053.4090463833809	29.322095941569167	1994.6779040584308	0.13491585813003043	11.140998882870509	10.47533101484007	9.23700618193787	8.92753424370736	7.313939685274368	6.2112320409624635	5.446088570690824	6.962501631498432	5.470458005700851	5.466914377936651	30.0	9.478256278897138	0.3310603568466262	0.20274361041492492	0.21913478192030333	0.24706125081814498	0.002987882801088666	0.04063594632818158	0.0011086073057459053	5.031043911890518E-4	1.3001659126920422	-0.06128678048169465	0.0011086073057459055	0.1331295593081909	2.599347264389363	1.287566918567821	0.7706722728707934	20.53067609471787	-8737.155495872934	-176.11750423849838	0.0	-15.0609112774296	-161.16255469417644
80000	-9093.341386584025	-339.4330976952793	-8753.908288888746	136.02872597469553	1887.9712740253044	962.7291606102817	29.171662491067618	1994.8283375089325	0.10086441711971843	5.280924883624568	6.7041949553575995	13.706692830736095	13.02012209609063	8.77910023335969	9.215896871119757	6.542367640397371	11.707866353656955	3.4929390773615663	5.0633994427559985	30.0	12.613816714479503	0.33769569285298534	0.1836127479381563	0.21689139886061137	0.26180016034824644	0.0027111459603290687	0.03193405609144957	0.0021020799014663106	5.401134726539112E-4	1.2071694255034326	-0.18228670305147635	0.002102079901466311	0.14741960929389106	1.340868880915503	0.3312672733081833	0.4224863134621327	20.56120185239911	-8739.191181145425	-176.11750423849838	0.0	-14.717107743320422	-162.36625584724814
85000	-9087.582294728729	-335.2886315367288	-8752.293663192	149.40178921409458	1874.5982107859054	960.122708329875	27.52298210886315	1996.477017891137	0.07619933294352904	16.168891074255423	16.814319680203493	17.412726189693608	8.379212440697698	9.559646770368209	6.158123638085156	5.476541769759565	8.798945840380831	3.1731091950923442	4.971607623910856	30.0	12.85442624479611	0.343304221097076	0.19591835487967357	0.2179413958167404	0.2428360282065095	0.002937255445342654	0.0409628597678562	0.002200421075744798	5.293978395050124E-4	1.2156328989251655	-0.1975729710878698	0.002200421075744798	2.0646340749496703	1.5656321947854404	0.048678033750461494	0.09930818312665479	20.547584428534755	-8734.972847475334	-176.11750423849838	0.0	-17.320815716666527	-156.21332256860205
90000	-9079.625280070835	-330.1809890000129	-8749.444291070822	148.71889653913652	1875.2811034608635	979.420632121143	27.2883634143186	1996.7116365856814	0.10316960600354216	6.896217696771685	6.2939293722783045	10.97293438300455	8.396662303817486	10.602728232881411	6.031491035854315	6.1730836386186185	9.546379954980337	3.67279905861505	5.136819802899307	30.0	10.928333588407334	0.337860843273641	0.196373357266599	0.22141628325808693	0.24434951620167247	0.0032944430024713692	0.05527451445511616	0.002167397998670698	5.273164337909834E-4	1.1779166167787405	-0.1396098381703793	0.0021673979986706975	0.697787642046773	0.38865913352278003	0.23995745880489114	0.7338461918880029	20.546908284891813	-8734.954443697054	-176.11750423849838	0.0	-14.48984737376789	-152.9812908104164
95000	-9078.028442689625	-337.4833606886925	-8740.545082000932	156.63459760472082	1867.3654023952793	1017.6062177300938	28.297196028388527	1995.7028039716115	0.17544369079735628	9.521486210412622	8.358479503342272	5.7739286783817985	7.388446447959758	7.008045914034754	5.5255756717088715	7.5212190661488565	5.529754328465809	4.5235845593612	5.019952475675797	30.0	11.346081868219079	0.3442982236017555	0.19283363348613722	0.2194614772138651	0.2434066656982416	0.003139576388119486	0.047947690348908036	0.0017366660429359584	5.287225795474888E-4	1.323527974922419	-0.12898509226389718	0.0017366660429359586	0.620482884523384	3.0699502967635137	0.33666825844885245	0.3007577589930468	20.535986431958342	-8724.978713421198	-176.11750423849838	0.0	-15.566368579733009	-157.56353879280036
